epoch,train_loss,val_loss,device
1,0.2604292786934159,0.024247542023658752,cuda
2,0.1870029399340803,0.020008400082588196,cuda
3,0.17518167028372938,0.022091694176197052,cuda
4,0.16988034072247418,0.01949339359998703,cuda
5,0.16630096936767752,0.017274020239710808,cuda
6,0.16177183017134666,0.01841146871447563,cuda
7,0.15936392681165176,0.01827958971261978,cuda
8,0.15772748365998268,0.01950753852725029,cuda
9,0.1555571915073828,0.018169842660427094,cuda
10,0.15384085476398468,0.021196255460381508,cuda
