epoch,train_loss,val_loss,device
1,0.22013797983527184,0.024867665022611618,cuda
2,0.17706079442392697,0.02028047852218151,cuda
3,0.16663311625068838,0.018038729205727577,cuda
4,0.15967098657380452,0.018092745915055275,cuda
5,0.15783435885201802,0.017492912709712982,cuda
6,0.15566326643932948,0.019873740151524544,cuda
7,0.1541318195787343,0.016895223408937454,cuda
8,0.15217745236375116,0.01593513786792755,cuda
9,0.15171095965938133,0.017770342528820038,cuda
10,0.1512875651771372,0.01747271791100502,cuda
11,0.15054187110879205,0.016149725764989853,cuda
12,0.15056278725916689,0.016461536288261414,cuda
13,0.1498618647456169,0.01985636167228222,cuda
14,0.14941889995878394,0.017584022134542465,cuda
