horizon_min,risk_level,count
30,蓝色,13452
30,黄色,2691
30,橙色,1255
30,红色,539
30,主导因素:容量压力,16394
30,主导因素:增长压力,1543
60,蓝色,13452
60,黄色,2691
60,橙色,1255
60,红色,539
60,主导因素:容量压力,15980
60,主导因素:增长压力,1957
