target,epoch,train_loss,val_loss,val_mae
target_person_h6,1,2.1267484029134116,1.9714843034744263,2.4318745136260986
target_person_h6,2,2.106130599975586,1.9702844619750977,2.430756092071533
target_person_h6,3,2.1278463999430337,1.9691581726074219,2.4297995567321777
target_person_h6,4,2.124379316965739,1.9681729078292847,2.428920269012451
target_person_h6,5,2.1297242641448975,1.9667543172836304,2.4274086952209473
target_person_h6,6,2.1178335348765054,1.9653041362762451,2.4257447719573975
target_person_h6,7,2.106975714365641,1.9640684127807617,2.4241628646850586
target_person_h6,8,2.120389699935913,1.9633938074111938,2.4229884147644043
target_person_h6,9,2.0957630475362143,1.9628641605377197,2.4220995903015137
target_person_h6,10,2.0869016647338867,1.9629746675491333,2.4221062660217285
target_person_h6,11,2.0800681908925376,1.9634969234466553,2.4224472045898438
target_person_h6,12,2.100118080774943,1.9640095233917236,2.423197031021118
target_person_h6,13,2.0813443660736084,1.9641286134719849,2.423459529876709
target_person_h6,14,2.0758577982584634,1.9641351699829102,2.42342209815979
target_person_h6,15,2.058466672897339,1.9637088775634766,2.422861099243164
target_person_h6,16,2.0559628009796143,1.9630898237228394,2.422086238861084
target_person_h6,17,2.0752366383870444,1.9613275527954102,2.4201278686523438
target_person_h6,18,2.043375571568807,1.9589314460754395,2.417677402496338
target_person_h6,19,2.040994564692179,1.9566718339920044,2.4152441024780273
target_person_h6,20,2.034411907196045,1.9553009271621704,2.4141454696655273
target_person_h6,21,2.0267916917800903,1.9550249576568604,2.414216995239258
target_person_h6,22,2.0263187090555825,1.9548637866973877,2.4143922328948975
target_person_h6,23,2.0290473302205405,1.9556653499603271,2.4155702590942383
target_person_h6,24,2.0309441089630127,1.9565643072128296,2.4166712760925293
target_person_h6,25,2.007014791170756,1.959102988243103,2.419652223587036
target_person_h6,26,2.012183944384257,1.9611884355545044,2.422426223754883
target_person_h6,27,2.0220872163772583,1.9589678049087524,2.4196999073028564
target_person_h6,28,1.984456459681193,1.959504246711731,2.4207611083984375
target_person_h6,29,1.9845424095789592,1.9614415168762207,2.422863483428955
target_person_h6,30,2.0018162727355957,1.9621227979660034,2.4234399795532227
target_person_h6,31,1.9924321571985881,1.9653494358062744,2.427130699157715
target_person_h6,32,1.9799837271372478,1.968218445777893,2.430046796798706
target_person_h6,33,1.9858606656392415,1.9732911586761475,2.4351749420166016
target_person_h6,34,1.9598867495854695,1.9742765426635742,2.436297655105591
target_person_h6,35,1.957655429840088,1.9745475053787231,2.43690824508667
target_person_h6,36,1.9485814174016316,1.9762698411941528,2.439265251159668
target_person_h6,37,1.9770331780115764,1.9791340827941895,2.4429330825805664
target_person_h6,38,1.9431591033935547,1.985716700553894,2.4496278762817383
target_person_h6,39,1.958712061246236,1.986864686012268,2.4503703117370605
target_person_h6,40,1.9518076181411743,1.9818187952041626,2.4456069469451904
target_wait_h6,1,0.15598143140474954,0.13900014758110046,0.43684834241867065
target_wait_h6,2,0.1528544177611669,0.13791878521442413,0.4357282221317291
target_wait_h6,3,0.15176949401696524,0.1371612399816513,0.4352352023124695
target_wait_h6,4,0.15245435138543448,0.13687828183174133,0.4351758658885956
target_wait_h6,5,0.15086216727892557,0.13683126866817474,0.43542924523353577
target_wait_h6,6,0.14886174102624258,0.13697564601898193,0.4357631504535675
