mae,rmse,wape,source,target,selected_by_inner_validation,horizon_min,rows
2.587974095153487,3.1626312683830267,0.29284545744558343,gcn,target_person_h6,dynamic_fusion,30,11988
2.6047984919836504,3.1585320112584876,0.2947492431887259,tcn_gcn,target_person_h6,dynamic_fusion,30,11988
2.538792133331299,3.0768582820892334,0.2872802010770044,dynamic_fusion,target_person_h6,dynamic_fusion,30,11988
0.4609461133469953,0.5599925020270702,0.31798352228594157,gcn,target_wait_h6,wait_specialist,30,11988
0.46191552822709636,0.5587390312583113,0.3186522728170885,tcn_gcn,target_wait_h6,wait_specialist,30,11988
0.4381717861712993,0.5291366780659178,0.3022726602929071,wait_specialist,target_wait_h6,wait_specialist,30,11988
0.4381718039512634,0.5291367173194885,0.30227267976130506,dynamic_fusion,target_wait_h6,wait_specialist,30,11988
2.5427342047130463,3.065244046342215,0.2872274244398168,gcn,target_person_h12,dynamic_fusion,60,11988
2.5611770617701035,3.092727867128665,0.28931073079641184,tcn_gcn,target_person_h12,dynamic_fusion,60,11988
2.4936487674713135,2.9924232959747314,0.2816827292852364,dynamic_fusion,target_person_h12,dynamic_fusion,60,11988
0.4538321612910251,0.5489733579126937,0.31260642534004296,gcn,target_wait_h12,wait_specialist,60,11988
0.45552551461939617,0.5507046228750387,0.313772832606804,tcn_gcn,target_wait_h12,wait_specialist,60,11988
0.44139485534754125,0.5307326486872371,0.3040394217570603,wait_specialist,target_wait_h12,wait_specialist,60,11988
0.4413948357105255,0.5307326316833496,0.30403941488176184,dynamic_fusion,target_wait_h12,wait_specialist,60,11988
