horizon_min,risk_level,count
30,蓝色,13567
30,黄色,2711
30,橙色,1266
30,红色,546
30,主导因素:容量压力,16435
30,主导因素:增长压力,1655
60,蓝色,13566
60,黄色,2709
60,橙色,1258
60,红色,557
60,主导因素:容量压力,15988
60,主导因素:增长压力,2102
