epoch,train_loss,val_loss,device
1,0.26749443131334644,0.053495943546295166,cuda
2,0.20757071761523976,0.02300190180540085,cuda
3,0.1925821865306181,0.023752283304929733,cuda
4,0.1837951611070072,0.020382240414619446,cuda
5,0.17702378946192124,0.02023567259311676,cuda
6,0.17006692202652202,0.023266369476914406,cuda
7,0.16597701170865228,0.019548138603568077,cuda
8,0.16213257435490103,0.02040865272283554,cuda
9,0.16127928740837993,0.018436718732118607,cuda
10,0.15986959636211395,0.0186713058501482,cuda
11,0.15803542820846334,0.019277537241578102,cuda
12,0.15642853519495795,0.020179076120257378,cuda
13,0.15603911263101242,0.020027900114655495,cuda
14,0.15452407651087818,0.01684018038213253,cuda
15,0.15492339256931753,0.020196737721562386,cuda
16,0.1540187088882222,0.022953689098358154,cuda
