epoch,train_loss,val_loss,device
1,0.2612957708975848,0.02076103165745735,cuda
2,0.20125267961445978,0.022626245394349098,cuda
3,0.18541719983605778,0.02111090160906315,cuda
4,0.17664664194864385,0.019371286034584045,cuda
5,0.16898923849358277,0.02030152641236782,cuda
6,0.1639313198187772,0.03019702062010765,cuda
7,0.1609070748090744,0.01885324716567993,cuda
8,0.15801325703368468,0.01853567361831665,cuda
9,0.15576078698915594,0.019295820966362953,cuda
10,0.15565198309281292,0.01843361184000969,cuda
11,0.1540804452755872,0.01685303822159767,cuda
12,0.15347308446379268,0.018048128113150597,cuda
13,0.1522951091037077,0.016799626871943474,cuda
14,0.15339850502855637,0.017156049609184265,cuda
15,0.15171845870859482,0.018252456560730934,cuda
16,0.15128326240707846,0.019823402166366577,cuda
17,0.15101092001971075,0.016497958451509476,cuda
18,0.1512910364305272,0.021890824660658836,cuda
19,0.15071951817063725,0.01692650280892849,cuda
20,0.15078886905137232,0.016378317028284073,cuda
21,0.1511203778140685,0.020738832652568817,cuda
22,0.14979350128594568,0.016427503898739815,cuda
23,0.14971334618680618,0.018961463123559952,cuda
24,0.14955576640718124,0.017347905784845352,cuda
