epoch,train_loss,val_loss,device
1,0.26460112368359284,0.04283301904797554,cuda
2,0.20618547937449286,0.021979762241244316,cuda
3,0.19104714341023388,0.019963620230555534,cuda
4,0.1815570724361083,0.018884427845478058,cuda
5,0.17434503050411448,0.01991148479282856,cuda
6,0.1676524439278771,0.021291280165314674,cuda
7,0.16418152872253866,0.01753178797662258,cuda
8,0.160744070130236,0.02066352777183056,cuda
9,0.1604591520393596,0.017147203907370567,cuda
10,0.15902368110768936,0.017586424946784973,cuda
11,0.1576856427332934,0.018553631380200386,cuda
12,0.1559036812361549,0.020541124045848846,cuda
13,0.15570327288964214,0.018308468163013458,cuda
14,0.1542481771286796,0.015929589048027992,cuda
15,0.1546696143991807,0.01951681636273861,cuda
16,0.15392662760089426,0.019524555653333664,cuda
