horizon_min,risk_level,count
30,蓝色,13527
30,黄色,2705
30,橙色,1262
30,红色,542
30,主导因素:容量压力,16426
30,主导因素:增长压力,1610
60,蓝色,13527
60,黄色,2705
60,橙色,1262
60,红色,542
60,主导因素:容量压力,15930
60,主导因素:增长压力,2106
