source,target,relation
map:user,前山安检口/前山1通道,context_to_security
前山安检口/前山1通道,map:user,context_to_security
map:user,前山安检口/前山2通道,context_to_security
前山安检口/前山2通道,map:user,context_to_security
map:user,前山安检口/前山3通道,context_to_security
前山安检口/前山3通道,map:user,context_to_security
map:user,外餐安检口/外餐1通道,context_to_security
外餐安检口/外餐1通道,map:user,context_to_security
map:user,外餐安检口/外餐2通道,context_to_security
外餐安检口/外餐2通道,map:user,context_to_security
map:user,外餐安检口/外餐3通道,context_to_security
外餐安检口/外餐3通道,map:user,context_to_security
map:user,外餐安检口/外餐4通道,context_to_security
外餐安检口/外餐4通道,map:user,context_to_security
map:user,外餐安检口/外餐5通道,context_to_security
外餐安检口/外餐5通道,map:user,context_to_security
map:user,外餐安检口/外餐6通道,context_to_security
外餐安检口/外餐6通道,map:user,context_to_security
doc:problem,global:ticket,context_to_ticket
global:ticket,doc:problem,context_to_ticket
doc:problem,global:rail,context_to_rail
global:rail,doc:problem,context_to_rail
doc:problem,前山安检口/前山1通道,context_to_security
前山安检口/前山1通道,doc:problem,context_to_security
doc:problem,前山安检口/前山2通道,context_to_security
前山安检口/前山2通道,doc:problem,context_to_security
doc:problem,前山安检口/前山3通道,context_to_security
前山安检口/前山3通道,doc:problem,context_to_security
doc:problem,外餐安检口/外餐1通道,context_to_security
外餐安检口/外餐1通道,doc:problem,context_to_security
doc:problem,外餐安检口/外餐2通道,context_to_security
外餐安检口/外餐2通道,doc:problem,context_to_security
doc:problem,外餐安检口/外餐3通道,context_to_security
外餐安检口/外餐3通道,doc:problem,context_to_security
doc:problem,外餐安检口/外餐4通道,context_to_security
外餐安检口/外餐4通道,doc:problem,context_to_security
doc:problem,外餐安检口/外餐5通道,context_to_security
外餐安检口/外餐5通道,doc:problem,context_to_security
doc:problem,外餐安检口/外餐6通道,context_to_security
外餐安检口/外餐6通道,doc:problem,context_to_security
facility:北门锁钥关城城楼,facility:北四楼・好汉石打卡点,scenic_route
