target,epoch,train_loss,val_loss,val_mae
target_person_h6,1,2.142810344696045,1.966902494430542,2.4264180660247803
target_person_h6,2,2.1323657830556235,1.9659596681594849,2.4258251190185547
target_person_h6,3,2.135551929473877,1.9653517007827759,2.4255714416503906
target_person_h6,4,2.1208457152048745,1.9648927450180054,2.425412654876709
target_person_h6,5,2.1227941513061523,1.9641987085342407,2.42488694190979
target_person_h6,6,2.109282652537028,1.96340811252594,2.424199342727661
target_person_h6,7,2.129943291346232,1.962833046913147,2.423705577850342
target_person_h6,8,2.1211737791697183,1.9622292518615723,2.42319393157959
target_person_h6,9,2.1108223597208657,1.9618233442306519,2.4228904247283936
target_person_h6,10,2.1120163599650064,1.961605191230774,2.4228506088256836
target_person_h6,11,2.1300792694091797,1.9616128206253052,2.4230148792266846
target_person_h6,12,2.111710786819458,1.9617239236831665,2.4232177734375
target_person_h6,13,2.1116398175557456,1.961971640586853,2.423396348953247
target_person_h6,14,2.113649765650431,1.962281584739685,2.4235353469848633
target_person_h6,15,2.0958046913146973,1.9626269340515137,2.423793077468872
target_person_h6,16,2.103458801905314,1.9632424116134644,2.4244256019592285
target_person_h6,17,2.1170663833618164,1.9637457132339478,2.4248766899108887
target_person_h6,18,2.0966594219207764,1.9646888971328735,2.425860643386841
target_person_h6,19,2.087384303410848,1.96604323387146,2.4271326065063477
target_person_h6,20,2.086958328882853,1.967292308807373,2.428194284439087
target_person_h6,21,2.0970731576283774,1.9681744575500488,2.4290096759796143
target_person_h6,22,2.0849613348642984,1.9684491157531738,2.4292714595794678
target_person_h6,23,2.085283358891805,1.9682451486587524,2.4289369583129883
target_person_h6,24,2.100672880808512,1.9677191972732544,2.4283461570739746
target_person_h6,25,2.0997124512990317,1.9671834707260132,2.427800416946411
target_person_h6,26,2.0697216192881265,1.9671039581298828,2.427680253982544
target_person_h6,27,2.0913608074188232,1.9669562578201294,2.4275240898132324
target_person_h6,28,2.0901025931040444,1.9664381742477417,2.4270238876342773
target_wait_h6,1,0.16925070683161417,0.14492563903331757,0.44898858666419983
target_wait_h6,2,0.16338997582594553,0.1429356336593628,0.44359642267227173
target_wait_h6,3,0.15798699855804443,0.14332497119903564,0.4431270956993103
target_wait_h6,4,0.15689833462238312,0.14368771016597748,0.44325488805770874
target_wait_h6,5,0.15899975101153055,0.1430099904537201,0.4425165355205536
target_wait_h6,6,0.15544821818669638,0.1417824923992157,0.44133177399635315
