horizon_min,risk_level,count
30,蓝色,8991
30,黄色,1798
30,橙色,839
30,红色,360
30,主导因素:客流压力,7261
30,主导因素:增长压力,4710
30,主导因素:包检压力,17
60,蓝色,8991
60,黄色,1798
60,橙色,839
60,红色,360
60,主导因素:客流压力,7040
60,主导因素:增长压力,4882
60,主导因素:包检压力,66
