mae,rmse,wape,source,target,horizon_min,rows
2.587974095153487,3.1626312683830267,0.29284545744558343,gcn,target_person_h6,30,11988
2.6047984919836504,3.1585320112584876,0.2947492431887259,tcn_gcn,target_person_h6,30,11988
2.5580825805664062,3.1069259643554688,0.289463036083423,dynamic_fusion,target_person_h6,30,11988
0.4609461133469953,0.5599925020270702,0.31798352228594157,gcn,target_wait_h6,30,11988
0.46191552822709636,0.5587390312583113,0.3186522728170885,tcn_gcn,target_wait_h6,30,11988
0.4467664659023285,0.5382818579673767,0.30820169910654616,dynamic_fusion,target_wait_h6,30,11988
2.5427342047130463,3.065244046342215,0.2872274244398168,gcn,target_person_h12,60,11988
2.5611770617701035,3.092727867128665,0.28931073079641184,tcn_gcn,target_person_h12,60,11988
2.524362564086914,3.034656524658203,0.28515216434945256,dynamic_fusion,target_person_h12,60,11988
0.4538321612910251,0.5489733579126937,0.31260642534004296,gcn,target_wait_h12,60,11988
0.45552551461939617,0.5507046228750387,0.313772832606804,tcn_gcn,target_wait_h12,60,11988
0.4419811964035034,0.5307542085647583,0.3044433092358373,dynamic_fusion,target_wait_h12,60,11988
